Electron_1,Electron_2,IBNR
5.4,5.5,1.37
6.4,6.7,1.44
5.2,5.5,1.18
5.2,5.7,1.11
4.6,5.2,1.17
4,4.5,1.33
3.2,3.8,1.36
3.1,3.8,1.52
2.9,3.6,1.56
2.8,3.5,1.75
4.4,4.9,1.99
5.3,5.9,2.52
5,5.6,2.3
4.2,4.9,1.85
4.9,5.6,1.91
7.9,8.5,2.01
7.1,7.7,2.28
6.3,7.1,2.53
5.3,6.1,2.9
5.1,5.8,1.94
6.9,7.1,2.69
7.4,7.6,2.62
9.9,9.7,2.68
9.9,9.6,2.69
7.4,7.5,2.66
7,7.2,2.67
6.9,7,2.41
6.2,6.2,2.33
5.5,5.5,2.78
5.2,5.3,1.84
5.7,5.6,1.26
7.2,6.8,0.69
7.9,7.5,0.64
7.2,6.9,0.67
6.2,6.1,0.61
5.6,5.6,0.62
5.4,5.4,0.47
4.9,4.9,0.58
4.4,4.5,0.96
4.1,4.2,1.03
3.9,4,1.05
4.8,4.7,1.23
5.9,5.8,1.35
6.3,6,1.42
5.6,5.5,1.35
5.1,5.1,1.35
4.6,4.6,1.42
4.7,4.6,1.41
6.1,5.8,1.48
10.3,9.2,1.57
10.5,9.6,1.73
9.4,9,1.58
8.2,8.1,1.65
7.6,7.4,1.81
6.3,6.2,1.76
5.4,5.3,1.71
